,Ratings,Jobs,Salaries,Locations
599,3.3,CDL A Driver Cardinal Logistics Management,NaN,"Pittsburgh, PA"
600,3.2,Driver Pizza Hut,NaN,"Pittsburgh, PA"
601,3.2,Crew Member Wendy's,$7--$10,"Pittsburgh, PA"
602,3.6,Restaurant Host(ess) Concord Hospitality,NaN,"Pittsburgh, PA"
603,3.5,Relief Veterinary Technician - Emergency BluePearl Veterinary Partners,$12-$19,"Pittsburgh, PA"
604,2.9,Licensed Practical Nurse - LPN HCR ManorCare,$17-$23,"Pittsburgh, PA"
605,3.2,"Sales Associate, Broad Street Talbots",NaN,"Sewickley, PA"
606,3.1,Outside Sales Engineer Equipment & Controls,NaN,"Lawrence, PA"
607,2.5,Production Tech 4 - Clear Coat Specialist Polyconcept North America  New,NaN,"Kensington, PA"
608,3.4,CDL-A Owner Operator Truck Driver UPS,NaN,"Pittsburgh, PA"
609,3.7,Outside Sales Representative in,NaN,"Butler, PA"
610,3.6,Lounge Bartender Concord Hospitality,NaN,"Pittsburgh, PA"
611,3.6,Bartender Concord Hospitality,NaN,"Pittsburgh, PA"
612,3.6,Dishwasher Concord Hospitality,NaN,"Pittsburgh, PA"
613,3.4,Physician (Interventional and Diagnostic Radiologist) US Department of Veterans Affairs,NaN,"Pittsburgh, PA"
614,2.7,Housekeeping Supervisor BridgeStreet Global Hospitality,$28-$42,"Pittsburgh, PA"
615,3.5,Security Sales Engineer Continuum Managed Services,$73-$10,"Pittsburgh, PA"
616,3.5,Medical Assistant/LPN (Full Time) -,NaN,"Pittsburgh, PA"
617,3.6,"Registered Nurse - Relocation to Oregon - ,000 Bonus! PeaceHealth",$20-$35-,"Pittsburgh, PA"
618,2.4,Caregiver (DSP) The Mentor Network,$9--$12,"Canonsburg, PA"
619,3.8,Oracle EBS - Lead Business Analyst Service Industrial Scientific Corp,$76-$11,"Pittsburgh, PA"
620,3.4,Senior Software Engineer- Log Analytics(PT18) DICK'S Sporting Goods,$12-$21,"Coraopolis, PA"
621,2.9,Project Software Quality Engineer eResearchTechnology,$58-$85,"Pittsburgh, PA"
622,3.5,In Home Caregiver Comfort Keepers,$9--$12,"Pittsburgh, PA"
623,3.2,IT Engagement Manager (Service Desk) PCM,$18-$28,"Pittsburgh, PA"
624,4.0,"Metrology Technician Aerotech, Inc.",NaN,"Pittsburgh, PA"
625,3.6,Banquet Houseperson Concord Hospitality,NaN,"Pittsburgh, PA"
626,NaN,"Curative Coordinator Key Personnel Services  Green Tree,",$15-$20,"Allegheny, PA"
627,3.6,Housekeeper/Room Care - Courtyard by Marriott Pittsburgh Shadyside Concord Hospitality,$8--$12,"Pittsburgh, PA"
628,4.4,Class A CDL Delivery Truck Driver ABC Supply co.,NaN,"Carnegie, PA"
629,3.6,Store Team Member - #72 - Overnight Sheetz,$18-$23,"Youngwood, PA"
630,3.2,"Sales Associate Key, Broad Street Talbots",NaN,"Sewickley, PA"
631,4.1,Compensation Analyst - Physician Workforce SullivanCotter,NaN,"Pittsburgh, PA"
